user,repo,fun_exported
thomasp85,ggfx,ch_blue
thomasp85,ggfx,ch_chroma
thomasp85,ggfx,ch_custom
thomasp85,ggfx,ch_cyan
thomasp85,ggfx,ch_green
thomasp85,ggfx,ch_hue
thomasp85,ggfx,ch_key
thomasp85,ggfx,ch_lightness
thomasp85,ggfx,ch_luminance
thomasp85,ggfx,ch_magenta
thomasp85,ggfx,ch_red
thomasp85,ggfx,ch_saturation
thomasp85,ggfx,ch_yellow
thomasp85,ggfx,convolve_grob
thomasp85,ggfx,current_resolution
thomasp85,ggfx,displace_raster
thomasp85,ggfx,dither_raster
thomasp85,ggfx,from_pixels
thomasp85,ggfx,get_raster_area
thomasp85,ggfx,get_viewport_area
thomasp85,ggfx,index_raster
thomasp85,ggfx,inner_glow_raster
thomasp85,ggfx,interpolate_raster
thomasp85,ggfx,mask_raster
thomasp85,ggfx,motion_blur_raster
thomasp85,ggfx,ordered_dither_raster
thomasp85,ggfx,outer_glow_raster
thomasp85,ggfx,ras_fill
thomasp85,ggfx,ras_fit
thomasp85,ggfx,ras_place
thomasp85,ggfx,ras_stretch
thomasp85,ggfx,ras_tile
thomasp85,ggfx,set_raster_area
thomasp85,ggfx,set_viewport_area
thomasp85,ggfx,shade_raster
thomasp85,ggfx,to_pixels
thomasp85,ggfx,variably_blur_raster
thomasp85,ggfx,viewport_is_clipping
thomasp85,ggfx,viewport_location
thomasp85,ggfx,with_blend
thomasp85,ggfx,with_blend_custom
thomasp85,ggfx,with_bloom
thomasp85,ggfx,with_blur
thomasp85,ggfx,with_circle_dither
thomasp85,ggfx,with_custom
thomasp85,ggfx,with_custom_dither
thomasp85,ggfx,with_displacement
thomasp85,ggfx,with_dither
thomasp85,ggfx,with_halftone_dither
thomasp85,ggfx,with_inner_glow
thomasp85,ggfx,with_interpolate
thomasp85,ggfx,with_kernel
thomasp85,ggfx,with_mask
thomasp85,ggfx,with_motion_blur
thomasp85,ggfx,with_ordered_dither
thomasp85,ggfx,with_outer_glow
thomasp85,ggfx,with_raster
thomasp85,ggfx,with_shade
thomasp85,ggfx,with_shadow
thomasp85,ggfx,with_variable_blur
jrnold,ggthemes,GeomRangeFrame
jrnold,ggthemes,GeomTufteboxplot
jrnold,ggthemes,StatFivenumber
jrnold,ggthemes,bank_slopes
jrnold,ggthemes,calc_pal
jrnold,ggthemes,calc_shape_pal
jrnold,ggthemes,canva_pal
jrnold,ggthemes,circlefill_shape_pal
jrnold,ggthemes,cleveland_shape_pal
jrnold,ggthemes,colorblind_pal
jrnold,ggthemes,economist_pal
jrnold,ggthemes,excel_new_pal
jrnold,ggthemes,excel_pal
jrnold,ggthemes,extended_range_breaks
